RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
2.0557918310203958,6ln3_ATP,6ln3_ATP_model_21_chainB_pH74,"(1, -1, 1)","(0, 1, 2)",30.303030303030305,"[(0, 1), (0, 3), (4, 5), (4, 11), (8, 10), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.9156976714029472,6ln3_ATP,6ln3_ATP_model_22_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)",30.303030303030305,"[(0, 7), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
2.1882008393586507,6ln3_ATP,6ln3_ATP_model_23_chainB_pH74,"(1, 1, 1)","(0, 1, 2)",24.242424242424242,"[(0, 3), (4, 7), (4, 11), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.940414010453033,6ln3_ATP,6ln3_ATP_model_24_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",27.27272727272727,"[(0, 7), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.65488147370464,6ln3_ATP,6ln3_ATP_model_25_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",30.303030303030305,"[(0, 2), (4, 5), (4, 6), (8, 11), (13, 14), (14, 15), (15, 20), (16, 17), (16, 18), (18, 19)]"
1.9221543723869223,6ln3_ATP,6ln3_ATP_model_26_chainB_pH74,"(-1, 1, 1)","(2, 0, 1)",27.27272727272727,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.962063038725204,6ln3_ATP,6ln3_ATP_model_27_chainB_pH74,"(1, 1, 1)","(1, 0, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.9526380537685264,6ln3_ATP,6ln3_ATP_model_28_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.990771926816224,6ln3_ATP,6ln3_ATP_model_29_chainB_pH74,"(1, -1, -1)","(1, 0, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
2.07315092862579,6ln3_ATP,6ln3_ATP_model_30_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)",27.27272727272727,"[(0, 1), (4, 7), (4, 11), (8, 10), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
1.9283642079356875,6ln3_ATP,6ln3_ATP_model_31_chainB_pH74,"(-1, -1, 1)","(0, 2, 1)",30.303030303030305,"[(0, 7), (4, 6), (8, 11), (12, 13), (13, 14), (14, 16), (15, 20), (16, 17), (18, 19), (18, 20)]"
1.8618585298303651,6ln3_ATP,6ln3_ATP_model_32_chainB_pH74,"(1, 1, 1)","(1, 0, 2)",33.33333333333333,"[(0, 2), (0, 7), (4, 5), (4, 11), (8, 11), (12, 13), (14, 15), (15, 20), (16, 17), (16, 18), (18, 19)]"
1.8002389579076894,6ln3_ATP,6ln3_ATP_model_33_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",30.303030303030305,"[(0, 2), (0, 7), (4, 5), (4, 11), (8, 12), (14, 15), (15, 20), (16, 17), (16, 18), (18, 19)]"
1.9078618591742045,6ln3_ATP,6ln3_ATP_model_34_chainB_pH74,"(1, -1, 1)","(1, 2, 0)",30.303030303030305,"[(0, 3), (4, 7), (4, 11), (8, 12), (12, 13), (13, 14), (14, 16), (15, 20), (18, 19), (18, 20)]"
2.065563218682579,6ln3_ATP,6ln3_ATP_model_35_chainB_pH74,"(1, -1, -1)","(2, 1, 0)",33.33333333333333,"[(0, 2), (0, 7), (4, 6), (4, 7), (8, 9), (12, 13), (14, 15), (15, 20), (16, 17), (16, 18), (18, 19)]"
1.8993262092528864,6ln3_ATP,6ln3_ATP_model_36_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",15.151515151515152,"[(0, 7), (4, 6), (4, 7), (8, 11), (8, 12)]"
1.8581873516346037,6ln3_ATP,6ln3_ATP_model_37_chainB_pH74,"(-1, 1, 1)","(0, 1, 2)",27.27272727272727,"[(0, 2), (4, 5), (4, 6), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.9838706023174464,6ln3_ATP,6ln3_ATP_model_38_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)",30.303030303030305,"[(0, 2), (4, 5), (4, 6), (4, 11), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.97399373986668,6ln3_ATP,6ln3_ATP_model_39_chainB_pH74,"(1, -1, -1)","(2, 0, 1)",21.21212121212121,"[(4, 7), (8, 11), (12, 13), (13, 14), (14, 15), (18, 19), (18, 20)]"
1.8701117701682908,6ln3_ATP,6ln3_ATP_model_40_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)",27.27272727272727,"[(0, 2), (4, 5), (4, 6), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.915886822080136,6ln3_ATP,6ln3_ATP_model_41_chainB_pH74,"(1, 1, -1)","(1, 2, 0)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 9), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.958345382421458,6ln3_ATP,6ln3_ATP_model_42_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",24.242424242424242,"[(0, 3), (4, 7), (4, 11), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
2.0777742024836185,6ln3_ATP,6ln3_ATP_model_43_chainB_pH74,"(1, -1, 1)","(2, 0, 1)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (8, 12), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.7739040947996676,6ln3_ATP,6ln3_ATP_model_44_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",27.27272727272727,"[(0, 2), (4, 5), (4, 6), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
1.8668584164910904,6ln3_ATP,6ln3_ATP_model_45_chainB_pH74,"(-1, -1, 1)","(1, 0, 2)",30.303030303030305,"[(0, 1), (0, 3), (4, 5), (4, 11), (8, 10), (13, 14), (14, 15), (16, 17), (18, 19), (18, 20)]"
2.076048896969998,6ln3_ATP,6ln3_ATP_model_46_chainB_pH74,"(-1, 1, -1)","(1, 0, 2)",39.39393939393939,"[(0, 2), (0, 7), (4, 5), (4, 6), (4, 11), (8, 9), (8, 12), (12, 13), (13, 14), (14, 15), (14, 16), (18, 19), (20, 21)]"
2.069068079588236,6ln3_ATP,6ln3_ATP_model_47_chainB_pH74,"(1, 1, 1)","(2, 0, 1)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (12, 13), (13, 14), (14, 15), (16, 17), (16, 18), (20, 21)]"
2.091265265330036,6ln3_ATP,6ln3_ATP_model_48_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)",24.242424242424242,"[(0, 3), (4, 7), (4, 11), (8, 10), (12, 13), (16, 17), (16, 18), (18, 19)]"
1.812732390402846,6ln3_ATP,6ln3_ATP_model_49_chainB_pH74,"(1, 1, -1)","(1, 0, 2)",30.303030303030305,"[(0, 2), (4, 6), (4, 7), (8, 11), (8, 12), (13, 14), (14, 15), (14, 16), (16, 17), (18, 20)]"
2.2147972135586067,6ln3_ATP,CSD_GAYLOH_ATP_manual,"(1, 1, 1)","(0, 1, 2)",24.242424242424242,"[(0, 1), (0, 2), (4, 6), (4, 7), (8, 9), (13, 14), (15, 20), (18, 20)]"
